Ticker,priceToOperatingCashFlowsRatio,priceToSalesRatio,enterpriseValueMultiple,ebitperRevenue,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,receivablesTurnover,payablesTurnover,inventoryTurnover,quickRatio,cashRatio,currentRatio,debtRatio,debtEquityRatio,totalDebtToCapitalization,dividendPayoutRatio
IRM,9.9154,2.1952,11.80786602,0.191421853,0.085984749,0.0864,0.1952,0.0491,5.0228,3.4923,0,0.679092418,0.11100602,0.81,0.6867,4.3754,0.813966725,3.2721
JKHY,24.4292,6.7831,0.184019466,0.224230707,0.175105671,0.731,0.1903,0.1339,5.113,19.5727,0,0.859022644,0.199224618,1.212,0,0,0,5.5875
JEC,22.5618,0.7245,16.55868863,0.041492739,0.010906564,0.0979,0.0279,0.0461,6.4918,5.6757,0,1.000988971,0.201821983,1.449,0.1698,0.3668,0.268360885,3.3907
JBHT,9.3375,1.1791,9.872680401,0.079077767,0.056830199,0.1362,0.233,0.1069,7.6374,3.5432,832.8378,0.783302819,0.005619855,1.111,0.2257,0.5468,0.35351738,9.946
SJM,12.2229,1.7796,13.75080557,0.116037254,0.065628987,0.4301,0.0645,0.0375,17.6254,3.4486,8.8831,0.258424087,0.043262866,0.694,0.3537,0.7416,0.425810263,10.0328
JNJ,15.4737,4.2425,14.46539562,0.232946397,0.187506895,0.4805,0.256,0.118,5.7867,2.7059,9.4873,1.08181236,0.192635287,1.474,0.1993,0.5101,0.337795904,8.2793
JCI,29.0545,1.4571,1.437877872,0.241613818,0.23673231,0.8505,0.2871,0.0254,4.2079,1.7954,13.1946,0.945424476,0.309261301,1.366,0.1707,0.3652,0.267518992,1.5106
JPM,22.882,2.9774,18.26911576,0.357693825,0.281659008,0,0.1197,0,1.5473,0.1352,0,0.321466513,0.133055729,0.563646907,0.2035,2.0803,0.523684406,4.1771
JNPR,10.7863,1.9985,18.39301668,0.114620764,0.121979559,0.1536,0.1175,0.0829,5.7855,5.5394,0,2.341221167,1.350881954,2.487,0.2284,0.4435,0.307230473,2.4673
KSU,10.2644,3.5766,9.272961235,0.366580693,0.231171702,0.0707,0.1304,0.0716,10.0705,1.3545,17.4478,0.898657718,0.224832215,1.421,0.284,0.5588,0.358471956,9.285
K,12.88,1.4604,12.02852638,0.133166015,0.098619621,0.5663,0.5136,0.0817,9.8025,1.4127,10.6376,0.374475602,0.070876573,0.697,0.5002,3.4191,0.773708022,4.4262
KEY,6.1015,2.475,11.37663135,0.357720945,0.302039495,0,0.1197,0,0,0,0,0.006220754,0.006220754,0.052913111,0.1045,0.9359,0.46823746,2.4076
KEYS,19.2764,2.7587,0,-0.08457968,0.042547705,0.1122,0.0678,-0.0548,6.6234,4.6225,6.4258,1.05129959,0.624487004,1.627,0.3073,0.7357,0.423869287,2.9679
KMB,13.2854,2.1345,15.0667076,0.11597966,0.076273937,0.2489,-4.9129,0.1657,8.2545,1.5169,10.2614,0.413555692,0.08246634,0.771,0.5135,-25.9756,1.040039063,8.5764
KIM,9.6771,5.3001,11.15049787,0.586157515,0.427379156,0,0.0933,0,5.8808,3.0608,0,1.075185555,0.470502843,1.131548507,0.4431,0.9138,0.476811521,1.5166
KMI,6.7309,2.3999,10.999043,0.290794683,0.113758484,0.0446,0.0478,0.0339,9.6022,2.8248,34.9666,0.632261479,0.43403467,0.757,0.4733,1.1083,0.525675333,2.2757
KLAC,17.0674,4.3057,2.531867291,0.311110717,0.257308317,0.3925,0.4421,0.1549,5.5658,6.77,4.1643,1.543409447,0.574499317,2.44,0.38,1.2874,0.562825751,7.3862
KSS,5.2587,0.5477,6.693236119,0.064165307,0.039596619,0.084,0.1449,0.0954,0,5.5517,5.7657,0.342124542,0.342124542,1.771,0.2806,0.6331,0.387657877,12.7597
KHC,20.3902,1.998,0,-0.379739607,-0.388000609,-1.1783,-0.1973,-0.0672,15.4381,1.6207,9.6805,0.434359589,0.150606424,1.21,0.3013,0.6034,0.3763115,2.1108
KR,5.3873,0.1851,4.939131501,0.038213301,0.025668114,0.1712,0.3944,0.0614,75.1159,4.7144,18.1123,0.141375928,0.030054645,0.757,0.3995,1.9311,0.658836254,5.1407
