,ClusterID
VTR,3
VRSN,2
VRSK,3
VZ,3
VRTX,2
VIAB,3
V,2
VNO,3
VMC,3
WAB,2
WMT,3
WBA,2
DIS,2
WM,2
WAT,2
WEC,3
WCG,2
WFC,3
WELL,3
WDC,3
WU,5
WRK,3
WY,6
WHR,3
WMB,3
WLTW,3
WYNN,3
XEL,3
XRX,3
XLNX,2
XYL,2
YUM,2
ZBH,3
ZION,3
ZTS,2
